timestamp,plane_id,temp_sensor_1,temp_sensor_2,temp_sensor_3,ambient_temp,charge_rate,discharge_rate,failure_condition,failure_label,avg_temp,max_temp,min_temp,temp_spread,is_temp_extreme,thermal_stress,charge_discharge_ratio,hour,day,day_of_week,week,shift,avg_temp_roll_mean,avg_temp_roll_std,charge_rate_roll_mean,charge_rate_roll_std,discharge_rate_roll_mean,discharge_rate_roll_std
2024-01-01 00:00:00,P2,28.012711299296168,25.70429977912165,27.98846732413704,24.49,1.52,2.47,Normal,0,27.2352,28.0127,25.7043,2.3084,0,2.7452,0.6154,0,1,Monday,1,Night,27.2352,0.0,1.52,0.0,2.47,0.0
2024-01-01 00:01:00,P2,26.616432814524988,29.82152426708267,27.395522466808973,25.84,2.41,0.71,Normal,0,27.9445,29.8215,26.6164,3.2051,0,2.1045,3.3944,0,1,Monday,1,Night,27.5898,0.5016,1.965,0.6293,1.59,1.2445
2024-01-01 00:02:00,P2,28.955649121929632,29.18444122445183,29.711206780492308,26.81,1.13,0.64,Normal,0,29.2838,29.7112,28.9556,0.7556,0,2.4738,1.7656,0,1,Monday,1,Night,28.1545,1.0403,1.6867,0.6561,1.2733,1.0369
2024-01-01 00:03:00,P3,27.92785343687654,28.801665595938594,28.726599848698505,26.27,1.94,2.48,Normal,0,28.4854,28.8017,27.9279,0.8738,0,2.2154,0.7823,0,1,Monday,1,Night,28.2372,0.8654,1.75,0.5505,1.575,1.0396
2024-01-01 00:04:00,P1,27.116683466170272,27.53156483319425,29.28754074619586,25.32,1.98,0.94,Normal,0,27.9786,29.2875,27.1167,2.1708,0,2.6586,2.1064,0,1,Monday,1,Night,28.1855,0.7583,1.796,0.4877,1.448,0.9441
2024-01-01 00:05:00,P1,27.766587419804207,25.94036357608353,25.67868533767725,24.56,1.43,1.51,Normal,0,26.4619,27.7666,25.6787,2.0879,0,1.9019,0.947,0,1,Monday,1,Night,27.8982,0.9773,1.735,0.4611,1.4583,0.8448
2024-01-01 00:06:00,P3,32.45002419698924,32.47751346128961,32.5052277718342,29.91,2.17,0.93,Normal,0,32.4776,32.5052,32.45,0.0552,0,2.5676,2.3333,0,1,Monday,1,Night,28.5524,1.9472,1.7971,0.4519,1.3829,0.7966
2024-01-01 00:07:00,P2,29.517810014617755,29.926221872557196,28.05143172174348,27.11,1.93,1.11,Normal,0,29.1652,29.9262,28.0514,1.8748,0,2.0552,1.7387,0,1,Monday,1,Night,28.629,1.8158,1.8138,0.421,1.3488,0.7438
2024-01-01 00:08:00,P3,28.24323944196246,29.151742482191874,26.764880045305304,26.48,1.25,2.42,Normal,0,28.0533,29.1517,26.7649,2.3868,0,1.5733,0.5165,0,1,Monday,1,Night,28.5651,1.7093,1.7511,0.4363,1.4678,0.782
2024-01-01 00:09:00,P3,25.70810364522517,27.67408452956382,26.244448409100396,25.95,1.07,2.17,Normal,0,26.5422,27.6741,25.7081,1.966,0,0.5922,0.4931,0,1,Monday,1,Night,28.3628,1.7339,1.683,0.4644,1.538,0.77
2024-01-01 00:10:00,P2,28.019269881175877,27.17921259695972,29.384408045034828,25.95,2.14,1.24,Normal,0,28.1943,29.3844,27.1792,2.2052,0,2.2443,1.7258,0,1,Monday,1,Night,28.3475,1.6457,1.7245,0.4616,1.5109,0.736
2024-01-01 00:11:00,P2,22.62880616750991,26.173635033865157,23.89340128058605,23.66,1.84,0.82,Normal,0,24.2319,26.1736,22.6288,3.5448,0,0.5719,2.2439,0,1,Monday,1,Night,28.0045,1.9681,1.7342,0.4414,1.4533,0.7296
2024-01-01 00:12:00,P3,25.18265342706072,24.27600615030399,25.20627241394178,23.7,1.04,0.81,Normal,0,24.8883,25.2063,24.276,0.9303,0,1.1883,1.284,0,1,Monday,1,Night,27.7648,2.0731,1.6808,0.4644,1.4038,0.7209
