timestamp,temperature_c,machine_speed_rpm,production_quality_score,vibration_level_mm_s,energy_consumption_kwh,is_optimal,hour,day,day_of_week,week,shift,temperature_c_roll_mean,temperature_c_roll_std,machine_speed_rpm_roll_mean,machine_speed_rpm_roll_std,production_quality_score_roll_mean,production_quality_score_roll_std,vibration_level_mm_s_roll_mean,vibration_level_mm_s_roll_std,energy_consumption_kwh_roll_mean,energy_consumption_kwh_roll_std,efficiency_ratio,energy_per_rpm
2025-04-01 08:00:00,78.92,1461,8.49,0.07,1.97,0,8,1,Tuesday,14,Morning,78.92,0.0,1461.0,0.0,8.49,0.0,0.07,0.0,1.97,0.0,4.3096,0.001348
2025-04-01 08:01:00,71.83,1549,8.97,0.04,1.01,0,8,1,Tuesday,14,Morning,75.375,5.0134,1505.0,62.2254,8.73,0.3394,0.055,0.0212,1.49,0.6788,8.8812,0.000652
2025-04-01 08:02:00,74.88,1498,8.52,0.08,1.6,0,8,1,Tuesday,14,Morning,75.21,3.5565,1502.6667,44.1852,8.66,0.2689,0.0633,0.0208,1.5267,0.4842,5.325,0.001068
2025-04-01 08:03:00,77.27,1478,8.28,0.09,1.87,0,8,1,Tuesday,14,Morning,75.725,3.0811,1496.5,38.127,8.565,0.2903,0.07,0.0216,1.6125,0.431,4.4278,0.001265
2025-04-01 08:04:00,76.5,1524,8.07,0.04,1.53,0,8,1,Tuesday,14,Morning,75.88,2.6908,1502.0,35.2349,8.466,0.335,0.064,0.023,1.596,0.3751,5.2745,0.001004
2025-04-01 08:05:00,74.05,1486,8.27,0.08,1.74,0,8,1,Tuesday,14,Morning,75.575,2.52,1499.3333,32.1849,8.4333,0.3101,0.0667,0.0216,1.62,0.3406,4.7529,0.001171
2025-04-01 08:06:00,75.42,1545,8.04,0.08,1.4,0,8,1,Tuesday,14,Morning,75.5529,2.3012,1505.8571,34.0755,8.3771,0.3198,0.0686,0.0204,1.5886,0.3218,5.7429,0.000906
2025-04-01 08:07:00,75.29,1470,8.29,0.07,1.75,0,8,1,Tuesday,14,Morning,75.52,2.1325,1501.375,33.9997,8.3662,0.2977,0.0688,0.0189,1.6088,0.3034,4.7371,0.00119
2025-04-01 08:08:00,72.94,1531,8.22,0.1,1.03,0,8,1,Tuesday,14,Morning,75.2333,2.1722,1504.6667,33.3017,8.35,0.2827,0.0722,0.0205,1.5444,0.3432,7.9806,0.000673
2025-04-01 08:09:00,76.28,1509,8.54,0.03,1.59,0,8,1,Tuesday,14,Morning,75.338,2.0746,1505.1,31.427,8.369,0.2732,0.068,0.0235,1.549,0.3238,5.3711,0.001054
2025-04-01 08:10:00,73.92,1543,8.02,0.08,1.75,0,8,1,Tuesday,14,Morning,75.2091,2.014,1508.5455,31.9292,8.3373,0.2797,0.0691,0.0226,1.5673,0.3131,4.5829,0.001134
2025-04-01 08:11:00,73.63,1501,8.6,0.05,1.46,0,8,1,Tuesday,14,Morning,75.0775,1.9737,1507.9167,30.5211,8.3592,0.2773,0.0675,0.0222,1.5583,0.3002,5.8904,0.000973
2025-04-01 08:12:00,74.1,1489,8.1,0.03,1.8,1,8,1,Tuesday,14,Morning,75.0023,1.909,1506.4615,29.689,8.3392,0.275,0.0646,0.0237,1.5769,0.2951,4.5,0.001209
2025-04-01 08:13:00,74.32,1547,8.59,0.08,1.5,0,8,1,Tuesday,14,Morning,74.9536,1.8431,1509.3571,30.5126,8.3571,0.2726,0.0657,0.0231,1.5714,0.2843,5.7267,0.00097
2025-04-01 08:14:00,76.1,1519,8.32,0.05,1.85,0,8,1,Tuesday,14,Morning,75.03,1.8006,1510.0,29.5079,8.3547,0.2629,0.0647,0.0226,1.59,0.2832,4.4973,0.001218
2025-04-01 08:15:00,72.74,1497,8.31,0.08,1.73,0,8,1,Tuesday,14,Morning,74.8869,1.8313,1509.1875,28.692,8.3519,0.2542,0.0656,0.0222,1.5988,0.2758,4.8035,0.001156
2025-04-01 08:16:00,74.07,1542,8.3,0.07,1.81,0,8,1,Tuesday,14,Morning,74.8388,1.7842,1511.1176,28.8983,8.3488,0.2464,0.0659,0.0215,1.6112,0.272,4.5856,0.001174
2025-04-01 08:17:00,73.17,1548,8.56,0.07,1.11,0,8,1,Tuesday,14,Morning,74.7461,1.7751,1513.1667,29.3523,8.3606,0.2442,0.0661,0.0209,1.5833,0.2891,7.7117,0.000717
2025-04-01 08:18:00,75.67,1466,8.45,0.04,1.64,0,8,1,Tuesday,14,Morning,74.7947,1.738,1510.6842,30.5087,8.3653,0.2382,0.0647,0.0212,1.5863,0.2812,5.1524,0.001119
2025-04-01 08:19:00,70.29,1467,8.18,0.07,1.8,0,8,1,Tuesday,14,Morning,74.5695,1.9689,1508.5,31.2604,8.356,0.2355,0.065,0.0206,1.597,0.2779,4.5444,0.001227
2025-04-01 08:20:00,73.17,1531,8.57,0.04,1.76,0,8,1,Tuesday,14,Morning,74.5029,1.9431,1509.5714,30.8619,8.3662,0.2343,0.0638,0.0209,1.6048,0.2732,4.8693,0.00115
2025-04-01 08:21:00,74.91,1546,8.98,0.07,1.26,0,8,1,Tuesday,14,Morning,74.5214,1.8983,1511.2273,31.1034,8.3941,0.2634,0.0641,0.0204,1.5891,0.2765,7.127,0.000815
2025-04-01 08:22:00,71.95,1463,8.25,0.07,1.17,0,8,1,Tuesday,14,Morning,74.4096,1.9306,1509.1304,32.009,8.3878,0.2591,0.0643,0.02,1.5709,0.2839,7.0513,0.0008
2025-04-01 08:23:00,74.39,1516,8.74,0.03,1.07,1,8,1,Tuesday,14,Morning,74.4088,1.8882,1509.4167,31.3368,8.4025,0.2634,0.0629,0.0207,1.55,0.2959,8.1682,0.000706
2025-04-01 08:24:00,73.95,1532,8.15,0.05,1.33,0,8,1,Tuesday,14,Morning,74.3904,1.8507,1510.32,31.0077,8.3924,0.2628,0.0624,0.0205,1.5412,0.293,6.1278,0.000868
